norme,fichier,reference,edition,statut,params_transcrits,params_inventories_non_transcrits,params_confirmes,params_a_confirmer,clauses_non_analysees,valeurs_d_attente,params_formule
EN 1990,non trace,NBN EN 1990 ANB,2021,acquired,0,inventaire non etabli,0,,,,
EN 1990-A1,—,NBN EN 1990/A1 ANB,—,not_acquired,0,,0,,,,
EN 1991-1-1,NBN_EN_1991-1-1_ANB_2007(F).pdf,NBN EN 1991-1-1 ANB,"1e éd., septembre 2007",acquired,0,inventaire non etabli,0,,,,
EN 1991-1-2,NBN_EN_1991-1-2_ANB_2008(F).pdf,NBN EN 1991-1-2-ANB,"1e éd., mai 2008",acquired,0,inventaire non etabli,0,,,,
EN 1991-1-3,non trace,NBN EN 1991-1-3 ANB,"1e uitg., oktober 2007 (version neerlandaise)",acquired,0,inventaire non etabli,0,,,,
EN 1991-1-4,NBN_EN_1991-1-4_ANB_2010(F).pdf,NBN EN 1991-1-4 ANB,"1e éd., décembre 2010",acquired,0,inventaire non etabli,0,,,,
EN 1991-1-5,NBN_EN_1991-1-5_ANB_2009(F).pdf,NBN EN 1991-1-5 ANB,"1e éd., juin 2009",acquired_for_reading,0,inventaire non etabli,0,,,,
EN 1991-1-6,NBN_EN_1991-1-6_ANB_2010(F).pdf,NBN EN 1991-1-6 ANB,"1e éd., décembre 2010",acquired_for_reading,0,inventaire non etabli,0,,,,
EN 1991-1-7,NBN_EN_1991-1-7_ANB_2012(F).pdf,NBN EN 1991-1-7 ANB,"1e éd., février 2012",acquired_for_reading,0,inventaire non etabli,0,,,,
EN 1991-2,NBN_EN_1991-2_ANB_2011(F).pdf,NBN EN 1991-2 ANB,"1e éd., octobre 2011",acquired,0,inventaire non etabli,0,,,,
EN 1991-3,NBN_EN_1991-3_ANB_2011(F).pdf,NBN EN 1991-3 ANB,"1e éd., octobre 2011",acquired_for_reading,0,inventaire non etabli,0,,,,
EN 1991-4,NBN_EN_1991-4_ANB_2011(F).pdf,NBN EN 1991-4 ANB,"1e éd., octobre 2011",acquired_for_reading,0,inventaire non etabli,0,,,,
EN 1992-1-1,non trace,NBN EN 1992-1-1 ANB,"1e ed., aout 2010",acquired,29,,0,As_max_ratio;As_min_coeff;As_min_floor;C_Rd_c_coeff;K_span_depth;alpha_cc;alpha_ct;cot_theta_min;gamma_C_accidental;gamma_C_persistent;gamma_S_accidental;gamma_S_persistent;k1_redistribution;k1_shear;k1_stress_limit;k2_redistribution;k3_crack_spacing;k3_steel_stress;k4_crack_spacing;k4_steel_stress_imposed;v_min_coeff,alpha_cw;nu1_coeff;nu1_fck_divisor;rho_w_min_coeff;s_l_max_coeff;s_t_max_coeff,w_max,cot_theta_max
EN 1992-1-2,non trace,NBN EN 1992-1-2 ANB,2021,acquired_for_reading,0,inventaire non etabli,0,,,,
EN 1992-2,NBN_EN_1992-2_ANB_2014(F).pdf,NBN EN 1992-2 ANB,"1e éd., mai 2014",acquired_for_reading,0,inventaire non etabli,0,,,,
EN 1992-3,NBN_EN_1992-3_ANB_2013(F).pdf,NBN EN 1992-3 ANB,"1e éd., avril 2013",acquired_for_reading,0,inventaire non etabli,0,,,,
EN 1993-1-1,non trace,NBN EN 1993-1-1 ANB,"1e ed., decembre 2010",acquired,0,alpha_LT;alpha_cr_min_plastique;beta_deversement;gamma_M0;gamma_M1;gamma_M2;k_fl;k_imperfection_element;lambda_LT_0;lambda_c_0;temperature_service_min,0,,,,
EN 1993-1-2,non trace,NBN EN 1993-1-2 ANB,"1e ed., decembre 2010",acquired,0,gamma_M_fi;theta_crit_classe_4;theta_crit_comprime;theta_crit_poutre_hyperstatique;theta_crit_poutre_isostatique,0,,,,
EN 1993-1-3,—,NBN EN 1993-1-3 ANB,—,not_acquired,0,,0,,,,
EN 1993-1-4,NBN_EN_1993-1-4_ANB_2011(F).pdf,NBN EN 1993-1-4 ANB,"1e éd., mars 2011",acquired_for_reading,0,inventaire non etabli,0,,,,
EN 1993-1-5,NBN_EN_1993-1-5_ANB_2011(F).pdf,NBN EN 1993-1-5 ANB,"1e éd., mars 2011",acquired_for_reading,0,inventaire non etabli,0,,,,
EN 1993-1-6,NBN_EN_1993-1-6_ANB_2011(F).pdf,NBN EN 1993-1-6 ANB,"1e éd., mars 2011",acquired_for_reading,0,inventaire non etabli,0,,,,
EN 1993-1-7,NBN_EN_1993-1-7_ANB_2011(F).pdf,NBN EN 1993-1-7 ANB,"1e éd., mars 2011",acquired_for_reading,0,inventaire non etabli,0,,,,
EN 1993-1-8,NBN_EN_1993-1-8_ANB_2010(F).pdf,NBN EN 1993-1-8 ANB,"1e éd., décembre 2010",acquired_for_reading,0,inventaire non etabli,0,,,,
EN 1993-1-9,NBN_EN_1993-1-9_ANB_2010(F).pdf,NBN EN 1993-1-9 ANB,"1e éd., décembre 2010",acquired_for_reading,0,inventaire non etabli,0,,,,
EN 1993-1-10,—,NBN EN 1993-1-10 ANB,—,not_acquired,0,,0,,,,
EN 1993-1-11,NBN_EN_1993-1-11_ANB_2010(F).pdf,NBN EN 1993-1-11 ANB,"1e éd., décembre 2010",acquired_for_reading,0,inventaire non etabli,0,,,,
EN 1993-1-12,NBN_EN_1993-1-12_ANB_2010(F).pdf,NBN EN 1993-1-12 ANB,"1e éd., décembre 2010",acquired_for_reading,0,inventaire non etabli,0,,,,
EN 1993-2,NBN_EN_1993-2_ANB_2011(F).pdf,NBN EN 1993-2 ANB,"1e éd., mars 2011",acquired_for_reading,0,inventaire non etabli,0,,,,
EN 1993-3-1,NBN_EN_1993-3-1_ANB_2011(F).pdf,NBN EN 1993-3-1 ANB,"1e éd., mars 2011",acquired_for_reading,0,inventaire non etabli,0,,,,
EN 1993-3-2,NBN_EN_1993-3-2_ANB_2011(F).pdf,NBN EN 1993-3-2 ANB,"1e éd., mars 2011",acquired_for_reading,0,inventaire non etabli,0,,,,
EN 1993-4-1,NBN_EN_1993-4-1_ANB_2011(F).pdf,NBN EN 1993-4-1 ANB,"1e éd., mars 2011",acquired_for_reading,0,inventaire non etabli,0,,,,
EN 1993-4-2,NBN_EN_1993-4-2_ANB_2011(F).pdf,NBN EN 1993-4-2 ANB,"1e éd., mars 2011",acquired_for_reading,0,inventaire non etabli,0,,,,
EN 1993-4-3,NBN_EN_1993-4-3_ANB_2011(F).pdf,NBN EN 1993-4-3 ANB,"1e éd., mars 2011",acquired_for_reading,0,inventaire non etabli,0,,,,
EN 1993-5,NBN_EN_1993-5_ANB_2011(F).pdf,NBN EN 1993-5 ANB,"1e éd., mars 2011",acquired_for_reading,0,inventaire non etabli,0,,,,
EN 1993-6,NBN_EN_1993-6_ANB_2011(F).pdf,NBN EN 1993-6 ANB,"1e éd., mars 2011",acquired_for_reading,0,inventaire non etabli,0,,,,
EN 1994-1-1,NBN_EN_1994-1-1_ANB_2010(F).pdf,NBN EN 1994-1-1 ANB,"1e éd., décembre 2010",acquired_for_reading,0,inventaire non etabli,0,,,,
EN 1994-1-2,NBN_EN_1994-1-2_ANB_2010(F).pdf,NBN EN 1994-1-2 ANB,"1e éd., décembre 2010",acquired_for_reading,0,inventaire non etabli,0,,,,
EN 1994-2,NBN_EN_1994-2_ANB_2011(F).pdf,NBN EN 1994-2 ANB,"1e éd., mars 2011",acquired_for_reading,0,inventaire non etabli,0,,,,
EN 1995-1-1,NBN_EN_1995-1-1_ANB_2012(F).pdf,NBN EN 1995-1-1 ANB,"1e éd., juillet 2012",acquired_for_reading,0,inventaire non etabli,0,,,,
EN 1995-1-2,NBN_EN_1995-1-2_ANB_2012(F).pdf,NBN EN 1995-1-2 ANB,"1e éd., juillet 2012",acquired_for_reading,0,inventaire non etabli,0,,,,
EN 1995-2,NBN_EN_1995-2_ANB_2012(F).pdf,NBN EN 1995-2 ANB,"1e éd., juillet 2012",acquired_for_reading,0,inventaire non etabli,0,,,,
EN 1996-1-1,non trace,NBN EN 1996-1-1+A1 ANB,2016,acquired_for_reading,0,inventaire non etabli,0,,,,
